date,game_id,stadium,away_team,home_team,away_score,home_score,status,away_result,home_result,away_hit,home_hit,away_hr,home_hr
2025-03-22,20250322LTLG0,잠실,롯데,LG,2,12,종료,패,승,7,15,0,2
2025-03-22,20250322OBSK0,문학,두산,SSG,5,6,종료,패,승,9,8,0,1
2025-03-22,20250322WOSS0,대구,키움,삼성,5,13,종료,패,승,14,18,2,2
2025-03-22,20250322HHKT0,수원,한화,KT,4,3,종료,승,패,6,12,1,1
2025-03-22,20250322NCHT0,광주,NC,KIA,2,9,종료,패,승,7,12,0,1
2025-03-23,20250323LTLG0,잠실,롯데,LG,2,10,종료,패,승,6,13,0,5
2025-03-23,20250323OBSK0,문학,두산,SSG,2,5,종료,패,승,9,10,0,0
2025-03-23,20250323WOSS0,대구,키움,삼성,7,11,종료,패,승,11,15,1,3
2025-03-23,20250323HHKT0,수원,한화,KT,4,5,종료,패,승,8,7,2,0
2025-03-23,20250323NCHT0,광주,NC,KIA,5,4,종료,승,패,10,6,1,2
2025-03-24,20250325HHLG0,잠실,한화,LG,0,5,종료,패,승,2,6,0,0
2025-03-24,20250325LTSK0,문학,롯데,SSG,3,2,종료,승,패,10,4,0,2
2025-03-24,20250325NCSS0,대구,NC,삼성,5,14,종료,패,승,10,12,0,4
2025-03-24,20250325OBKT0,수원,두산,KT,3,8,종료,패,승,12,12,0,2
2025-03-24,20250325WOHT0,광주,키움,KIA,6,11,종료,패,승,10,17,1,4
2025-03-25,20250325HHLG0,잠실,한화,LG,0,5,종료,패,승,2,6,0,0
2025-03-25,20250325LTSK0,문학,롯데,SSG,3,2,종료,승,패,10,4,0,2
2025-03-25,20250325NCSS0,대구,NC,삼성,5,14,종료,패,승,10,12,0,4
2025-03-25,20250325OBKT0,수원,두산,KT,3,8,종료,패,승,12,12,0,2
2025-03-25,20250325WOHT0,광주,키움,KIA,6,11,종료,패,승,10,17,1,4
2025-03-26,20250326HHLG0,잠실,한화,LG,0,4,종료,패,승,2,10,0,1
2025-03-26,20250326LTSK0,문학,롯데,SSG,1,3,종료,패,승,7,7,0,1
2025-03-26,20250326NCSS0,대구,NC,삼성,8,6,종료,승,패,15,6,1,1
2025-03-26,20250326OBKT0,수원,두산,KT,3,2,종료,승,패,10,9,0,0
2025-03-26,20250326WOHT0,광주,키움,KIA,17,10,종료,승,패,21,13,1,0
