date,game_id,stadium,away_team,home_team,away_score,home_score,status,away_result,home_result,away_hit,home_hit,away_hr,home_hr
2025-06-20,20250620OBLG0,잠실,두산,LG,0,0,예정,예정,예정,0,0,0,0
2025-06-20,20250620HTSK0,문학,KIA,SSG,0,0,예정,예정,예정,0,0,0,0
2025-06-20,20250620SSLT0,사직,삼성,롯데,1,3,종료,패,승,4,7,1,1
2025-06-20,20250620NCKT0,수원,NC,KT,0,0,예정,예정,예정,0,0,0,0
2025-06-20,20250620WOHH0,대전,키움,한화,0,0,예정,예정,예정,0,0,0,0
2025-06-21,20250621OBLG0,잠실,두산,LG,6,5,종료,승,패,9,9,0,1
2025-06-21,20250621HTSK0,문학,KIA,SSG,5,5,종료,무,무,9,11,2,2
2025-06-21,20250621SSLT0,사직,삼성,롯데,0,0,예정,예정,예정,0,0,0,0
2025-06-21,20250621NCKT0,수원,NC,KT,5,7,종료,패,승,11,8,0,0
2025-06-21,20250621WOHH0,대전,키움,한화,0,0,예정,예정,예정,0,0,0,0
2025-06-22,20250622OBLG0,잠실,두산,LG,5,13,종료,패,승,8,15,1,0
2025-06-22,20250622HTSK0,문학,KIA,SSG,5,4,종료,승,패,10,5,2,1
2025-06-22,20250622SSLT0,사직,삼성,롯데,6,9,종료,패,승,9,13,1,0
2025-06-22,20250622NCKT0,수원,NC,KT,2,0,종료,승,패,4,4,0,0
2025-06-22,20250622WOHH0,대전,키움,한화,4,10,종료,패,승,8,18,0,1
2025-06-23,20250624SKOB0,잠실,SSG,두산,0,5,종료,패,승,3,9,0,0
2025-06-23,20250624HHSS0,대구,한화,삼성,0,0,예정,예정,예정,0,0,0,0
2025-06-23,20250624LTNC0,창원,롯데,NC,0,0,예정,예정,예정,0,0,0,0
2025-06-23,20250624LGKT0,수원,LG,KT,0,5,종료,패,승,8,9,0,1
2025-06-23,20250624HTWO0,고척,KIA,키움,6,9,종료,패,승,9,13,3,1
2025-06-24,20250624SKOB0,잠실,SSG,두산,0,5,종료,패,승,3,9,0,0
2025-06-24,20250624HHSS0,대구,한화,삼성,0,0,예정,예정,예정,0,0,0,0
2025-06-24,20250624LTNC0,창원,롯데,NC,0,0,예정,예정,예정,0,0,0,0
